player_grad_year,player_rivals_rank,player_espn_rank,player_first_name,player_last_name,player_position,player_school,player_state,player_height,player_weight,player_potential_schools
2018,1,1,Marvin,Bagley III,F,Sierra Canyon,CAÿ,6'10,220,List
2018,2,2,Zion,Williamson,F,Spartanburg Day School,SCÿ,6'6,230,List
2018,3,4,Bol,Bol,F,Mater Dei,CAÿ,7'2,215,List
2018,4,3,Cameron,Reddish,F,Westtown School,PAÿ,6'7,180,List
2018,5,5,Romeo,Langford,G,New Albany,INÿ,6'4,185,List
2018,6,8,Jordan,Brown,F,Woodcreek,CAÿ,6'10,190,List
2018,7,6,Moses,Brown,C,Archbishop Molloy,NYÿ,7'0,225,List
2018,8,19,Tre,Jones,G,Apple Valley,MNÿ,6'2,160,List
2018,9,9,Simisola,Shittu,F,Vermont Academy,VT,6'9,220,List
2018,10,14,Immanuel,Quickley,G,John Carroll,MDÿ,6'4,180,List
2018,11,10,Jontay,Porter,F,Nathan Hale,WAÿ,6'10,240,Missouri
2018,12,11,Darius,Garland,G,Brentwood Academy,TNÿ,6'0,150,List
2018,13,7,Nazreon,Reid,C,Roselle Catholic,NJ,6'10,230,List
2018,14,17,Reggie,Perry,F,Thomasville,GAÿ,6'8,215,Mississippi St
2018,15,15,Jahvon,Quinerly,G,Hudson Catholic,NJ,6'0,165,List
2018,16,16,Louis,King,F,Hudson Catholic,NJÿ,6'7,195,List
2018,17,12,Emmitt,Williams,F,IMG Academy,FLÿ,6'7,205,List
2018,18,28,Silvio,De Sousa,F,IMG Academy,FLÿ,6'9,220,List
2018,19,27,Javonte,Smart,G,Scotlandville,LAÿ,6'4,180,Louisiana State
2018,20,29,Quentin,Grimes,G,College Park,TXÿ,6'5,180,List
2018,21,39,Ayo,Dosunmu,G,Morgan Park,ILÿ,6'4,185,List
2018,22,18,Shareef,O'Neal,F,Crossroads,CAÿ,6'9,200,Arizona
2018,23,30,E.J.,Montgomery,F,Wheeler,GAÿ,6'9,205,Auburn
2018,24,13,Keldon,Johnson,F,Oak Hill Academy,VAÿ,6'6,205,List
2018,25,32,Darius,Bazley,F,Princeton,OHÿ,6'8,185,Syracuse
2018,26,37,Jalen,Smith,F,Mount St. Joseph,MDÿ,6'9,205,Maryland
2018,27,46,Elijah,Weaver,G,Oldsmar Christian,FLÿ,6'5,190,List
2018,28,36,Nassir,Little,F,Orlando Christian Prep,FLÿ,6'6,195,List
2018,29,22,Jaylen,Hoard,F,Wesleyan Christian Academy,NCÿ,6'8,200,List
2018,30,20,Taeshon,Cherry,F,St. Augustine,CAÿ,6'9,220,USC
2018,31,26,Coby,White,G,Greenfield,NCÿ,6'3,170,North Carolina
2018,32,21,Anfernee,Simons,G,IMG Academy,FLÿ,6'2,165,Louisville
2018,33,33,Devon,Dotson,G,Providence Day,NCÿ,6'1,170,List
2018,34,35,Courtney,Ramey,G,Webster Groves,MOÿ,6'3,170,Louisville
2018,35,34,David,McCormack,C,Oak Hill Academy,VAÿ,6'10,290,List
2018,36,57,Jules,Bernard,F,Windward,CAÿ,6'6,190,List
2018,37,81,Kevin,Porter,G,Rainier Beach,WAÿ,6'5,190,USC
2018,38,24,Luguentz,Dort,G,Conrad Academy,FLÿ,6'4,190,List
2018,39,31,Gerald,Liddell,F,Steele,TXÿ,6'7,180,List
2018,40,48,Cole,Swider,F,St Andrews,RIÿ,6'8,190,Villanova
2018,41,75,Joe,Wieskamp,G,Muscatine,IAÿ,6'6,190,Iowa
2018,42,53,A.J.,Reeves,G,Brimmer & May,MAÿ,6'5,195,Providence
2018,43,49,Joey,Hauser,F,Stevens Point,WIÿ,6'8,210,List
2018,44,54,David,Duke,G,Cushing Academy,MAÿ,6'4,190,List
2018,45,23,Carte'Are,Gordon,F,Webster Groves,MOÿ,6'8,240,Saint Louis
2018,46,42,Brandon,Williams,G,Crespi,CAÿ,6'2,180,Arizona
